miRNA,SRR5127209,DRR041368,SRR5755916,SRR5755923,DRR041467,SRR7062776,SRR7062777,SRR7062778,SRR7062779,SRR7062780,SRR7062781,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR5755902,SRR5755909,SRR5756067,SRR1044598,SRR1664897,SRR5756074,SRR5756081,DRR041517,DRR041536,DRR041511,SRR5756000,SRR5756007,SRR5756088,SRR5756102,SRR5127232,SRR5128192,SRR5128189,DRR041575,SRR5127234,DRR041493,DRR041447,SRR1988299,SRR1988300,SRR1988301,SRR1988302,SRR1988303,SRR1988304,SRR1988305,SRR1988306,SRR3199257,SRR3199258,SRR3199259,SRR3199260,SRR3199261,SRR3199262,SRR1988291,SRR1988292,SRR1988293,SRR1988294,SRR1988295,SRR1988296,SRR1988297,SRR1988298,DRR041473,SRR5756109,DRR041355,DRR041527,SRR5833905,SRR5833903,SRR5833902,SRR5833904,SRR5127214,SRR7545527,SRR7545529,SRR6283108,SRR6283109,SRR8478257,SRR5755825,SRR5256882,SRR5256883,SRR8478258,SRR8478259,SRR5755895,DRR041534,SRR5755958,SRR5755972,SRR5755986,SRR7545528,SRR5128191,SRR5128194,SRR5128190,SRR5128193,SRR5755930,SRR5755937,SRR5755944,SRR5755951,DRR041554,DRR041487,SRR5256874,SRR5256875,SRR5256876,SRR5256878,SRR5256879,SRR5256880,SRR5256881,SRR5755860,SRR5755965,SRR5755979,SRR5755993,SRR3199254,SRR3199255,SRR3199256,SRR5756060,SRR5756095,SRR3996364,SRR3996365,SRR3996366,SRR3996367,SRR3996368,SRR3996369,DRR041393,DRR041422,DRR041436,DRR041443,DRR041450,DRR041470,DRR041504,DRR041530,DRR041578,DRR041592,DRR041616,DRR041620,SRR1777161,SRR1777162,SRR1777163,SRR1777164,SRR1777165,SRR1777166,SRR1777167,SRR1777168,SRR1777169
hsa-let-7a-2-3p,74,21,0,0,28,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,7,19,0,0,0,0,0,16,25,5,28,7,9,0,0,0,0,0,0,0,0,11,14,10,51,3,6,0,0,0,0,0,0,0,5,19,0,3,25,33,28,17,22,102,0,0,0,0,37,0,0,0,19,16,0,7,0,0,0,0,10,24,16,16,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,7,6,7,10,3,0,11,34,0,6,8,7,4,3,0,0,0,6,21,16,9,33,3,18,2,32,19
hsa-let-7a-3p,4104,87,0,0,158,36,66,49,44,37,0,9,0,13,0,2,4,0,0,5,7,5,240,76,244,3,0,2,2,13,270,124,58,977,278,172,0,0,0,0,0,0,0,0,439,239,329,1094,347,128,0,0,0,0,57,53,84,96,304,0,37,85,370,370,595,244,2087,64,56,0,0,753,8,0,0,87,135,0,21,0,0,7,71,78,93,97,38,0,0,0,0,47,216,0,0,0,0,0,0,0,0,0,3,12,4273,38,1180,3,0,221,142,245,209,219,217,132,335,49,94,99,265,72,141,103,22,36,56,480,215,100,273,194,358,144,1446,627
hsa-let-7a-5p/7c-5p,1699260,44924,2820,1819,46448,8442,16520,18191,10914,10390,18424,185407,264211,436999,36918,2443,2861,3964,25846,206237,9098,7371,79800,115784,41012,5754,4105,3500,5461,309009,177361,229734,78156,457102,76261,88529,1189,1039,1435,1269,1937,1026,1918,529,16308,19858,32471,92643,53325,65212,218,202,253,243,37138,42572,52905,44220,76684,2994,14389,39947,79551,66912,71936,45225,436097,83593,115702,7243,1489,158757,7637,115,372,5020,12122,2047,48593,2413,2323,8274,109609,147399,155704,279546,123804,5088,1466,1905,2018,95664,46536,192,1651,662,3129,1092,394,127,1055,1894,7435,6215,64686,532,13128,1416,9922,69854,51463,104269,66123,64630,73972,76592,114754,25346,31320,40041,53856,24526,172176,135609,68402,37758,161286,91654,30198,28131,54422,24187,51239,24475,175268,66338
hsa-let-7b-3p,0,0,0,0,0,0,0,0,0,0,0,14,0,35,0,0,0,0,0,4,0,3,0,0,208,0,0,0,0,5,373,501,0,0,0,309,0,0,0,0,0,0,0,0,0,8,0,74,91,47,0,0,0,0,0,0,95,82,0,0,0,220,0,24,47,0,0,86,71,6,0,232,0,0,0,0,0,0,22,0,0,3,63,477,120,634,0,0,0,0,0,96,207,0,0,0,0,0,0,0,0,0,0,6,492,0,13,0,2,33,23,41,39,0,0,0,659,76,129,197,308,81,392,261,33,0,0,0,0,0,0,0,0,0,59,0
hsa-let-7b-5p,112433,1389,586,269,5964,0,0,11,8,7,8,40687,48439,79923,11319,442,613,609,7886,44670,2218,1179,11980,13277,4276,897,533,942,1019,62305,16833,32213,7984,5150,11847,14939,0,0,0,0,0,0,0,0,332,562,390,4509,6203,6563,8,7,0,0,1793,1858,2271,2050,12867,498,3636,4811,4293,4659,5077,1984,54342,65153,65807,323,329,33636,1889,0,10,187,357,543,1404,536,232,1916,62551,36687,4169,50597,9402,655,295,383,344,8909,5354,0,0,0,75,0,0,0,332,405,1113,1411,14758,34,675,252,2018,8460,3840,7382,4085,3956,3560,17629,14238,3768,4377,6237,7966,1933,29531,22591,12017,3294,28893,654,324,336,736,113,422,761,3365,1257
hsa-let-7c-3p,1161,22,0,0,7,18,70,40,29,57,77,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,327,201,4,662,4,0,0,4,0,0,9,3,5,0,143,97,95,341,74,40,0,0,0,0,6,5,9,10,3,0,0,5,95,101,168,183,164,0,0,48,39,446,0,0,0,0,0,0,3,0,0,0,0,88,302,213,106,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,134,4,8,0,0,16,3,15,11,10,8,8,55,21,17,40,28,4,0,5,0,0,5,586,155,137,234,155,323,134,973,513
hsa-let-7d-3p,7537,349,11,5,159,9,15,15,10,16,20,711,170,1233,87,10,22,21,0,411,36,22,208,157,76,40,18,4,23,125,2090,2623,55,1518,241,134,0,0,0,0,0,0,0,0,38,113,149,468,489,405,0,0,0,0,1064,713,1366,1073,226,0,24,118,452,464,489,360,1239,307,394,105,26,1239,16,0,0,48,64,3,132,5,10,57,374,2545,3623,3275,3083,24,6,5,4,35,69,0,17,0,0,0,0,0,12,2,34,44,551,0,3,5,24,81,53,104,78,69,71,261,462,132,125,165,293,262,225,277,36,177,205,221,145,39,83,90,144,221,1008,256
hsa-let-7d-5p,47564,1745,375,284,851,121,191,207,124,100,169,16846,24580,37444,4288,406,483,661,6446,23025,1584,1186,1250,1580,848,1267,944,563,1204,79969,5799,6029,1095,5847,1474,1237,9,11,12,21,21,6,14,4,677,721,1592,6277,6002,5718,14,6,17,12,3987,3800,4969,4299,1197,663,407,743,2380,2626,2468,1207,6699,23287,23565,65,30,7474,1380,13,19,185,378,351,1139,441,365,1651,20996,5148,11195,7428,4363,808,224,331,332,1240,689,3,20,4,0,15,0,0,140,251,1465,1223,4687,6,43,240,1764,2331,1582,3288,1866,1502,1540,1491,2419,629,950,984,1707,1519,3219,2831,1678,1441,2421,1451,587,251,457,574,727,841,5325,1216
hsa-let-7e-3p,2219,28,0,0,38,30,60,84,65,50,92,0,0,0,0,0,0,0,0,0,0,0,51,16,25,0,0,0,0,0,464,252,10,1835,34,24,12,17,18,18,26,17,22,0,51,127,107,331,239,147,8,0,4,0,72,58,100,102,56,0,0,27,181,110,144,98,284,0,0,192,238,145,0,0,0,84,87,0,4,0,0,0,0,199,385,312,228,0,0,0,0,4,21,0,16,0,0,9,0,0,0,0,0,0,194,19,42,0,0,14,0,13,7,11,12,18,74,13,18,21,47,21,25,16,0,16,16,195,77,90,226,57,122,71,265,208
hsa-let-7e-5p,170327,2382,0,0,4526,2141,4005,5280,3109,3014,4803,391,563,1314,39,0,0,0,0,483,0,0,5123,6052,2201,0,0,0,0,145,18271,20220,4611,102708,5228,4958,966,901,1260,1059,2432,1372,2486,616,978,1573,2733,9609,4259,4118,225,227,243,212,7315,8564,10905,9004,4739,0,1329,2199,10679,7032,7865,7095,31632,65,72,5754,1388,15603,0,278,1057,4739,7059,0,1864,0,0,0,49,11253,23034,24113,30914,0,0,0,0,4527,2044,572,4354,1746,8197,3064,1077,384,0,0,0,0,5043,371,695,0,0,7761,5094,10815,5263,8203,8537,3361,6023,1642,1755,2469,3081,3288,11102,8215,2503,4344,6918,23239,10317,13620,31316,7731,14018,7687,39546,13323
hsa-let-7f-1-3p,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,27,54,27,20,0,0,0,0,0,0,0,0,8,14,17,92,44,17,0,0,0,0,0,0,0,46,0,0,0,35,27,33,37,0,0,25,26,0,0,100,0,0,0,0,0,0,0,0,0,0,26,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,92,0,0,16,72,0,15,36,0,16,12,0,0,0,0,0,8,0,51,16
hsa-let-7f-2-3p,0,0,0,0,0,8,32,0,0,0,0,4,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,139,175,730,270,177,0,0,0,0,0,0,0,0,0,0,0,0,355,321,444,241,0,5,14,0,0,238,5,0,0,0,75,0,0,0,0,3,16,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,263,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,63,0
hsa-let-7f-5p,909860,27217,7009,3838,31021,1765,3669,3811,2451,2072,3405,458981,479343,1148106,47661,6133,7330,6679,42574,439922,15341,13123,42656,41149,16237,19454,14414,6969,13451,797754,69888,40852,28020,158690,34597,31839,291,391,411,437,634,394,529,235,20972,25632,48246,199988,93595,113677,141,153,143,146,33988,27601,40779,35859,36981,7765,8497,9102,41287,45797,48648,30336,164429,157534,184177,2535,746,114406,16982,125,385,604,2254,4836,14454,5800,5701,26339,170078,17722,54413,45359,29932,11647,3713,4660,4448,29875,17062,175,1405,627,2628,1270,460,157,3119,3912,23032,18526,70595,731,8329,3278,18671,93953,81519,143400,76669,118982,138178,18768,41111,9523,11749,18135,19652,21426,64504,61121,40949,27482,55682,47615,23543,11025,21584,17178,23443,20070,118598,42338
hsa-let-7g-3p,800,0,0,0,0,17,41,43,37,22,48,8,4,19,0,0,0,0,0,9,0,0,0,0,8,0,2,0,0,30,7,0,0,279,11,0,0,0,0,0,0,0,0,0,8,50,25,168,45,27,0,0,0,0,0,14,0,22,6,0,9,11,32,30,33,0,99,17,20,0,0,28,4,0,0,0,0,0,6,0,0,0,27,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,6,16,12,9,13,17,8,22,0,8,0,22,5,0,7,0,3,0,3,4,0,2,0,0,12,10,14
hsa-let-7g-5p,319939,4884,759,458,3070,1578,3369,3274,2099,1807,2969,56238,55935,127889,6498,739,822,1168,11337,57787,2237,1928,4745,5716,3233,2256,1728,1022,1779,104682,145311,143066,6007,83059,5118,4527,40,97,71,93,117,59,89,36,15789,21150,66934,186220,64929,66372,47,49,48,41,4203,4704,6375,5405,4402,969,986,2339,66435,66479,65584,41897,32400,45539,62009,453,304,149634,3467,0,15,1362,4787,683,2921,666,666,2768,56930,78623,142242,173669,83040,1438,442,572,644,5608,3305,12,126,57,179,78,32,15,424,505,2439,2279,74217,643,4627,471,2572,4663,4050,6718,4441,5591,6308,10528,8188,1721,2923,2833,4980,2937,12434,12428,8959,4821,20428,52007,25110,8811,17983,21439,28838,22369,110604,42985
hsa-let-7i-3p,1374,44,2,0,67,26,78,64,37,38,67,175,156,448,35,0,9,0,50,283,6,8,81,41,47,21,9,2,6,393,591,550,32,200,123,66,0,0,0,0,0,0,0,0,41,258,88,953,447,247,0,0,0,0,24,10,21,21,132,0,36,51,188,296,216,226,356,683,732,0,0,133,30,0,0,5,0,2,9,6,2,11,875,375,496,661,629,4,0,4,0,24,72,0,0,0,0,0,0,0,5,0,15,14,745,0,12,3,4,5,10,8,10,12,8,59,125,3,27,43,52,23,128,72,10,16,41,64,49,10,11,12,24,16,135,54
hsa-let-7i-5p,265310,17759,1636,915,25939,2112,4562,3979,2672,2159,3744,156187,241977,410217,35494,1733,2002,1728,10060,212738,4694,3605,22317,18444,13173,4756,4027,2158,4411,350665,406929,486024,22930,57402,20557,18273,77,93,93,120,105,53,65,36,20975,28490,39049,159279,45612,51126,28,37,33,34,12771,10456,14737,14014,29721,2656,13117,6280,100256,124744,91499,118671,71366,43744,55654,821,304,534513,5976,10,30,452,1767,1474,5192,1697,1793,6362,54490,456356,299872,933953,633866,2865,1118,1372,1336,17211,14689,11,69,33,196,73,19,8,901,1112,6433,5509,51282,231,1003,932,6074,71813,66146,116620,86454,79166,91780,12076,38208,4782,6400,12630,12278,10807,37103,32534,9269,11122,22137,144112,91822,14012,14438,27898,91015,27548,325473,120529
hsa-miR-1-3p,36,0,0,0,0,3,4,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,278,0,0,0,8,0,0,10,10,14,0,845,1549,1092,2693,1836,1694,9,16,0,8,7,0,8,13,0,0,0,0,50171,31042,88151,28702,17,19,0,74,89,1163,0,6,5,94,591,0,0,0,0,0,3,3,34,15,84,0,0,0,0,0,0,4,7,0,49,8,0,0,0,0,0,0,195,3723,1658,0,0,0,0,0,0,15,9,0,0,0,0,0,0,9,0,0,0,0,0,1312,594,629,1288,1811,1524,903,6487,1699
hsa-miR-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-100-3p,1278,357,0,0,447,10,6,15,9,9,18,0,0,0,0,0,0,0,0,0,0,0,217,199,438,0,0,0,0,7,0,0,398,664,176,119,3,6,0,4,28,18,13,0,0,0,0,7,0,0,4,7,11,12,18,16,31,18,242,0,8,263,29,31,0,0,2967,0,0,0,0,20,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,367,569,0,5,0,0,0,0,0,0,0,0,0,12,0,3,0,0,577,649,1558,1208,486,675,5,363,10,68,50,111,64,83,71,15,49,53,5,0,4,0,0,5,0,5,8
hsa-miR-100-5p,458171,14001,0,0,182128,872,1569,1959,1123,1064,1297,556,4,19,204,3,0,0,0,1013,21,0,284125,477672,99858,20,17,0,21,3868,36484,49510,212516,249767,230812,208049,86,114,124,156,647,271,517,61,456278,464123,370835,1012214,219180,238271,351,387,432,332,1252,1588,1811,1673,221543,0,38877,137369,340636,244027,143222,127912,182788,596,360,4604,2020,156871,0,7,48,26944,30688,0,237144,5,3,36,678,14042,70555,34000,19801,0,6,0,0,281311,172275,40,277,98,453,119,36,17,2,0,32,23,802772,26374,22200,0,5,42422,25030,36587,37274,11933,10088,59139,274256,23591,44075,45260,74187,52609,308391,202235,49112,113829,452816,357444,175729,671524,705551,112196,221700,114952,444594,363987
hsa-miR-101-2-5p,6,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
hsa-miR-101-3p,236580,1356,1063,422,666,2000,4213,4673,2567,2399,4175,27858,10369,70041,2942,903,1364,1519,0,24161,2712,2334,2586,2610,740,5451,3782,697,2177,120215,2575,614,1403,99377,2087,2051,1658,4998,2782,2798,2765,1850,1749,1214,4015,11237,7237,46050,6739,5912,1752,2074,1464,1624,1480,1887,2611,2694,2189,958,377,328,54558,42907,68489,56593,9050,16733,19618,3954,2405,12084,10811,275,877,685,2655,261,1006,650,737,5838,17296,490,1248,443,1521,1903,490,467,479,1204,783,319,2561,1027,5160,3126,917,319,814,276,5555,4851,23571,7850,14757,940,2647,342,398,521,428,823,1197,888,2256,81,470,894,955,714,9346,6838,3208,1200,3018,29860,9838,3400,3538,9630,12353,9368,14644,50646
hsa-miR-101-5p,1629,3,2,0,3,18,34,35,27,25,48,30,7,114,4,0,8,4,0,42,10,5,6,3,4,17,9,3,5,382,0,0,2,528,11,13,8,12,20,8,6,8,8,4,7,49,11,69,29,15,15,15,12,11,5,7,12,15,16,0,0,0,0,0,48,31,16,56,83,0,0,0,48,0,0,0,0,0,0,0,2,23,60,0,0,0,0,6,2,2,0,0,5,0,2,0,0,6,5,2,6,0,18,22,14,6,14,4,5,2,3,2,3,5,4,8,14,0,0,3,2,7,14,14,7,0,9,0,0,0,0,3,4,0,8,5
hsa-miR-10226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-5p,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,18,13,0,11,0,9,0,12,0,0,6,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,3,7,9,10,9,28,39
hsa-miR-10393-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10393-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10394-3p,0,0,0,0,0,3,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,14,0,0,0,0,17,0,11,17,20,26,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,5,0,0
hsa-miR-10394-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,9,0,0,0,0,0,0,0,21,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-10395-3p,1224,36,0,0,32,13,29,26,17,16,21,0,0,0,0,0,0,0,0,0,0,0,48,29,19,0,0,0,0,0,1007,1410,16,821,39,39,33,81,95,99,129,49,90,45,0,18,27,27,14,11,63,75,75,80,52,54,57,94,64,0,168,25,13995,14498,12640,7741,272,0,0,13,29,170,0,97,229,285,398,0,7,0,0,0,0,1381,1932,1978,1567,0,0,0,0,20,17,36,306,116,1190,251,112,37,0,0,0,0,120,104,49,0,0,0,0,0,0,0,0,64,155,20,45,59,67,45,53,42,3,23,60,548,306,574,842,243,257,326,759,1064
hsa-miR-10395-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396a-3p/10396b-3p,127,14,0,0,4,7,14,36,14,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,257,3,0,10,18,13,24,26,20,19,9,8,15,17,50,4,4,54,58,51,38,33,30,74,61,0,0,3,0,46,97,111,60,23,0,0,0,0,0,0,0,9,100,136,0,5,0,0,0,0,0,11,0,8,0,0,0,0,6,0,0,38,10,71,16,7,2,0,0,0,0,29,24,7,0,0,0,0,6,0,2,4,0,12,0,8,7,6,0,4,0,0,3,2,4,6,9,8,4,0,0,13,31
hsa-miR-10396a-5p/10396b-5p,45,2,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,43,0,0,30,32,28,48,48,30,40,14,0,0,0,0,0,0,92,90,87,103,32,37,87,70,0,0,0,0,60,86,133,147,0,0,0,0,0,0,0,0,0,258,135,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,19,83,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,9,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10397-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10397-5p,206,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,42,0,16,0,0,17,0,43,0
hsa-miR-10398-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10398-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10399-3p,0,0,0,0,3,0,0,0,0,0,0,86,167,311,34,0,0,0,0,103,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,54,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10399-5p,0,0,0,0,5,0,0,0,0,0,0,16,8,29,0,0,0,0,0,3,3,3,2,0,4,2,0,0,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,54,0,0,0,3,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7,23,0,9,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
hsa-miR-103a-1-5p/103a-2-5p,89,0,0,0,6,8,12,0,9,11,19,7,0,11,0,0,0,0,0,7,0,0,3,2,0,0,0,0,0,71,3,0,0,101,4,0,9,19,21,15,7,5,4,3,85,134,442,536,111,145,0,3,10,0,0,0,0,0,0,0,2,0,44,52,82,68,11,60,66,0,11,50,0,3,5,42,50,0,0,0,0,0,60,0,14,4,20,0,0,0,0,0,9,0,11,0,59,15,3,2,0,0,0,0,167,83,70,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,4,2,9,0,0,7,0,3,5,0,0,7,10,11
